invoice_id,Branch,City,category,unit_price,quantity,date,time,payment_method,rating,profit_margin,hour,day_of_week,month,Revenue,Profit,price_range,time_segment,is_weekend,transaction_size
14,WALM035,San Angelo,Food and beverages,43.19,10.0,2019-07-02,1900-01-01 16:48:00,Ewallet,8.2,0.48,16,Tuesday,July,431.9,207.31199999999998,Medium,Afternoon,False,Large
15,WALM031,Lewisville,Health and beauty,71.38,10.0,2019-03-29,1900-01-01 19:21:00,Cash,5.7,0.48,19,Friday,March,713.8,342.62399999999997,High,Evening,False,Very Large
16,WALM008,Corpus Christi,Sports and travel,93.72,6.0,2019-01-15,1900-01-01 16:19:00,Cash,4.5,0.48,16,Tuesday,January,562.3199999999999,269.9136,High,Afternoon,False,Very Large
17,WALM029,Round Rock,Health and beauty,68.93,7.0,2019-11-03,1900-01-01 11:03:00,Credit card,4.6,0.48,11,Sunday,November,482.51000000000005,231.6048,High,Morning,True,Large
18,WALM061,Cedar Park,Sports and travel,72.61,6.0,2019-01-01,1900-01-01 10:39:00,Credit card,6.9,0.33,10,Tuesday,January,435.65999999999997,143.7678,High,Morning,False,Large
19,WALM053,Conroe,Food and beverages,54.67,3.0,2019-01-21,1900-01-01 18:00:00,Credit card,8.6,0.57,18,Monday,January,164.01,93.48569999999998,High,Afternoon,False,Large
20,WALM013,Irving,Home and lifestyle,40.3,2.0,2019-11-03,1900-01-01 15:30:00,Ewallet,4.4,0.48,15,Sunday,November,80.6,38.687999999999995,Medium,Afternoon,True,Medium
21,WALM044,Pharr,Electronic accessories,86.04,5.0,2019-02-25,1900-01-01 11:24:00,Ewallet,4.8,0.48,11,Monday,February,430.20000000000005,206.496,High,Morning,False,Large
22,WALM088,Cleburne,Health and beauty,87.98,3.0,2019-05-03,1900-01-01 10:40:00,Ewallet,5.1,0.33,10,Friday,May,263.94,87.1002,High,Morning,False,Large
23,WALM083,Farmers Branch,Home and lifestyle,33.2,2.0,2019-03-15,1900-01-01 12:20:00,Credit card,4.4,0.33,12,Friday,March,66.4,21.912000000000003,Medium,Morning,False,Medium
24,WALM067,Haltom City,Electronic accessories,34.56,5.0,2019-02-17,1900-01-01 11:15:00,Ewallet,9.9,0.33,11,Sunday,February,172.8,57.02400000000001,Medium,Morning,True,Large
25,WALM023,Midland,Sports and travel,88.63,3.0,2019-02-03,1900-01-01 17:36:00,Ewallet,6.0,0.48,17,Sunday,February,265.89,127.62719999999999,High,Afternoon,True,Large
26,WALM001,Houston,Home and lifestyle,52.59,8.0,2019-03-22,1900-01-01 19:20:00,Credit card,8.5,0.36,19,Friday,March,420.72,151.4592,High,Evening,False,Large
27,WALM072,Lancaster,Fashion accessories,33.52,1.0,2019-08-02,1900-01-01 15:31:00,Cash,6.7,0.33,15,Friday,August,33.52,11.061600000000002,Medium,Afternoon,False,Small
28,WALM046,Temple,Fashion accessories,87.67,2.0,2019-10-03,1900-01-01 12:17:00,Credit card,7.7,0.48,12,Thursday,October,175.34,84.1632,High,Morning,False,Large
29,WALM012,Garland,Food and beverages,88.36,5.0,2019-01-25,1900-01-01 19:48:00,Cash,9.6,0.48,19,Friday,January,441.8,212.064,High,Evening,False,Large
30,WALM075,San Marcos,Health and beauty,24.89,9.0,2019-03-15,1900-01-01 15:36:00,Cash,7.4,0.33,15,Friday,March,224.01,73.9233,Medium,Afternoon,False,Large
31,WALM076,Huntsville,Fashion accessories,94.13,5.0,2019-02-25,1900-01-01 19:39:00,Credit card,4.8,0.33,19,Monday,February,470.65,155.3145,High,Evening,False,Large
32,WALM098,Mineral Wells,Sports and travel,78.07,9.0,2019-01-28,1900-01-01 12:43:00,Cash,4.5,0.18,12,Monday,January,702.6299999999999,126.47339999999997,High,Morning,False,Very Large
33,WALM021,McAllen,Sports and travel,83.78,8.0,2019-10-01,1900-01-01 14:49:00,Cash,5.1,0.48,14,Tuesday,October,670.24,321.7152,High,Afternoon,False,Very Large
34,WALM096,Eagle Pass,Health and beauty,96.58,2.0,2019-03-15,1900-01-01 10:12:00,Credit card,5.1,0.18,10,Friday,March,193.16,34.7688,High,Morning,False,Large
35,WALM022,Mesquite,Food and beverages,99.42,4.0,2019-06-02,1900-01-01 10:42:00,Ewallet,7.5,0.48,10,Sunday,June,397.68,190.8864,High,Morning,True,Large
36,WALM095,Big Spring,Sports and travel,68.12,1.0,2019-07-01,1900-01-01 12:28:00,Ewallet,6.8,0.33,12,Monday,July,68.12,22.4796,High,Morning,False,Medium
37,WALM041,Mission,Sports and travel,62.62,5.0,2019-10-03,1900-01-01 19:15:00,Ewallet,7.0,0.48,19,Thursday,October,313.09999999999997,150.28799999999998,High,Evening,False,Large
38,WALM070,Hurst,Electronic accessories,60.88,9.0,2019-01-15,1900-01-01 17:17:00,Ewallet,4.7,0.33,17,Tuesday,January,547.9200000000001,180.81360000000004,High,Afternoon,False,Very Large
39,WALM070,Hurst,Health and beauty,54.92,8.0,2019-03-23,1900-01-01 13:24:00,Ewallet,7.6,0.33,13,Saturday,March,439.36,144.9888,High,Afternoon,True,Large
40,WALM030,Richardson,Home and lifestyle,30.12,8.0,2019-03-03,1900-01-01 13:01:00,Cash,7.7,0.48,13,Sunday,March,240.96,115.6608,Medium,Afternoon,True,Large
41,WALM033,Pearland,Home and lifestyle,86.72,1.0,2019-01-17,1900-01-01 18:45:00,Ewallet,7.9,0.48,18,Thursday,January,86.72,41.6256,High,Afternoon,False,Medium
42,WALM088,Cleburne,Home and lifestyle,56.11,2.0,2019-02-02,1900-01-01 10:11:00,Cash,6.3,0.33,10,Saturday,February,112.22,37.0326,High,Morning,True,Medium
43,WALM079,La Porte,Sports and travel,69.12,6.0,2019-08-02,1900-01-01 13:03:00,Cash,5.6,0.33,13,Friday,August,414.72,136.85760000000002,High,Afternoon,False,Large
44,WALM042,Bryan,Food and beverages,98.7,8.0,2019-04-03,1900-01-01 20:39:00,Cash,7.6,0.48,20,Wednesday,April,789.6,379.008,High,Evening,False,Very Large
45,WALM036,Allen,Health and beauty,15.37,2.0,2019-03-16,1900-01-01 19:47:00,Cash,7.2,0.48,19,Saturday,March,30.74,14.755199999999999,Low,Evening,True,Small
46,WALM056,Rowlett,Electronic accessories,93.96,4.0,2019-09-03,1900-01-01 18:00:00,Cash,9.5,0.33,18,Tuesday,September,375.84,124.0272,High,Afternoon,False,Large
47,WALM058,Port Arthur,Health and beauty,56.69,9.0,2019-02-27,1900-01-01 17:24:00,Credit card,8.4,0.33,17,Wednesday,February,510.21,168.3693,High,Afternoon,False,Very Large
48,WALM015,Grand Prairie,Food and beverages,20.01,9.0,2019-06-02,1900-01-01 15:47:00,Ewallet,4.1,0.48,15,Sunday,June,180.09,86.4432,Medium,Afternoon,True,Large
49,WALM063,Georgetown,Electronic accessories,18.93,6.0,2019-10-02,1900-01-01 12:45:00,Credit card,8.1,0.33,12,Wednesday,October,113.58,37.4814,Low,Morning,False,Medium
50,WALM021,McAllen,Fashion accessories,82.63,10.0,2019-03-19,1900-01-01 17:08:00,Ewallet,7.9,0.48,17,Tuesday,March,826.3,396.62399999999997,High,Afternoon,False,Very Large
51,WALM089,Southlake,Food and beverages,91.4,7.0,2019-03-02,1900-01-01 10:19:00,Cash,9.5,0.33,10,Saturday,March,639.8000000000001,211.13400000000004,High,Morning,True,Very Large
52,WALM093,Angleton,Food and beverages,44.59,5.0,2019-10-02,1900-01-01 15:10:00,Cash,8.5,0.33,15,Wednesday,October,222.95000000000002,73.57350000000001,Medium,Afternoon,False,Large
53,WALM041,Mission,Fashion accessories,17.87,4.0,2019-03-22,1900-01-01 14:42:00,Ewallet,6.5,0.48,14,Friday,March,71.48,34.3104,Low,Afternoon,False,Medium
54,WALM045,Missouri City,Fashion accessories,15.43,1.0,2019-01-25,1900-01-01 15:46:00,Credit card,6.1,0.48,15,Friday,January,15.43,7.4064,Low,Afternoon,False,Small
55,WALM005,Fort Worth,Home and lifestyle,16.16,2.0,2019-07-03,1900-01-01 11:49:00,Ewallet,6.5,0.48,11,Wednesday,July,32.32,15.5136,Low,Morning,False,Small
56,WALM042,Bryan,Electronic accessories,85.98,8.0,2019-02-28,1900-01-01 19:01:00,Cash,8.2,0.48,19,Thursday,February,687.84,330.1632,High,Evening,False,Very Large
57,WALM003,San Antonio,Home and lifestyle,44.34,2.0,2019-03-27,1900-01-01 11:26:00,Cash,5.8,0.36,11,Wednesday,March,88.68,31.9248,Medium,Morning,False,Medium
58,WALM070,Hurst,Health and beauty,89.6,8.0,2019-07-02,1900-01-01 11:28:00,Ewallet,6.6,0.33,11,Tuesday,July,716.8,236.54399999999998,High,Morning,False,Very Large
59,WALM066,Grapevine,Home and lifestyle,72.35,10.0,2019-01-20,1900-01-01 15:55:00,Cash,5.4,0.33,15,Sunday,January,723.5,238.75500000000002,High,Afternoon,True,Very Large
60,WALM031,Lewisville,Electronic accessories,30.61,6.0,2019-12-03,1900-01-01 20:36:00,Cash,9.3,0.48,20,Tuesday,December,183.66,88.15679999999999,Medium,Evening,False,Large
61,WALM042,Bryan,Sports and travel,24.74,3.0,2019-02-15,1900-01-01 17:47:00,Credit card,10.0,0.48,17,Friday,February,74.22,35.6256,Medium,Afternoon,False,Medium
62,WALM078,Del Rio,Home and lifestyle,55.73,6.0,2019-02-24,1900-01-01 10:55:00,Ewallet,7.0,0.33,10,Sunday,February,334.38,110.3454,High,Morning,True,Large
63,WALM037,League City,Sports and travel,55.07,9.0,2019-03-02,1900-01-01 13:40:00,Ewallet,10.0,0.48,13,Saturday,March,495.63,237.9024,High,Afternoon,True,Large
64,WALM069,Rockwall,Sports and travel,15.81,10.0,2019-06-03,1900-01-01 12:27:00,Credit card,8.6,0.33,12,Monday,June,158.1,52.173,Low,Morning,False,Large
65,WALM087,Waxahachie,Health and beauty,75.74,4.0,2019-02-14,1900-01-01 14:35:00,Cash,7.6,0.33,14,Thursday,February,302.96,99.9768,High,Afternoon,False,Large
66,WALM042,Bryan,Health and beauty,15.87,10.0,2019-03-13,1900-01-01 16:40:00,Cash,5.8,0.48,16,Wednesday,March,158.7,76.17599999999999,Low,Afternoon,False,Large
67,WALM020,Killeen,Health and beauty,33.47,2.0,2019-10-02,1900-01-01 15:43:00,Ewallet,6.7,0.48,15,Wednesday,October,66.94,32.1312,Medium,Afternoon,False,Medium
68,WALM029,Round Rock,Fashion accessories,97.61,6.0,2019-07-01,1900-01-01 15:01:00,Ewallet,9.9,0.48,15,Monday,July,585.66,281.11679999999996,High,Afternoon,False,Very Large
69,WALM079,La Porte,Sports and travel,78.77,10.0,2019-01-24,1900-01-01 10:04:00,Cash,6.4,0.33,10,Thursday,January,787.6999999999999,259.941,High,Morning,False,Very Large
70,WALM035,San Angelo,Health and beauty,18.33,1.0,2019-02-02,1900-01-01 18:50:00,Cash,4.3,0.48,18,Saturday,February,18.33,8.798399999999999,Low,Afternoon,True,Small
71,WALM007,Arlington,Food and beverages,89.48,10.0,2019-06-01,1900-01-01 12:46:00,Credit card,9.6,0.48,12,Saturday,June,894.8000000000001,429.504,High,Morning,True,Very Large
72,WALM017,McKinney,Fashion accessories,62.12,10.0,2019-11-02,1900-01-01 16:19:00,Cash,5.9,0.48,16,Saturday,November,621.1999999999999,298.17599999999993,High,Afternoon,True,Very Large
73,WALM096,Eagle Pass,Food and beverages,48.52,3.0,2019-05-03,1900-01-01 18:17:00,Ewallet,4.0,0.18,18,Friday,May,145.56,26.2008,Medium,Afternoon,False,Medium
74,WALM083,Farmers Branch,Electronic accessories,75.91,6.0,2019-09-03,1900-01-01 18:21:00,Cash,8.7,0.33,18,Tuesday,September,455.46,150.30180000000001,High,Afternoon,False,Large
75,WALM072,Lancaster,Home and lifestyle,74.67,9.0,2019-01-22,1900-01-01 10:55:00,Ewallet,9.4,0.33,10,Tuesday,January,672.03,221.7699,High,Morning,False,Very Large
76,WALM003,San Antonio,Electronic accessories,41.65,10.0,2019-01-13,1900-01-01 17:04:00,Credit card,5.4,0.48,17,Sunday,January,416.5,199.92,Medium,Afternoon,True,Large
77,WALM058,Port Arthur,Fashion accessories,49.04,9.0,2019-09-01,1900-01-01 14:20:00,Credit card,8.6,0.33,14,Sunday,September,441.36,145.64880000000002,Medium,Afternoon,True,Large
78,WALM094,Alamo,Fashion accessories,20.01,9.0,2019-12-01,1900-01-01 15:48:00,Credit card,5.7,0.33,15,Sunday,December,180.09,59.429700000000004,Medium,Afternoon,True,Large
79,WALM063,Georgetown,Food and beverages,78.31,10.0,2019-05-03,1900-01-01 16:24:00,Ewallet,6.6,0.33,16,Friday,May,783.1,258.423,High,Afternoon,False,Very Large
80,WALM071,Lufkin,Health and beauty,20.38,5.0,2019-01-22,1900-01-01 18:56:00,Cash,6.0,0.33,18,Tuesday,January,101.89999999999999,33.626999999999995,Medium,Afternoon,False,Medium
81,WALM061,Cedar Park,Health and beauty,99.19,6.0,2019-01-21,1900-01-01 14:42:00,Credit card,5.5,0.33,14,Monday,January,595.14,196.3962,High,Afternoon,False,Very Large
82,WALM090,Brownwood,Food and beverages,96.68,3.0,2019-01-26,1900-01-01 19:56:00,Ewallet,6.4,0.33,19,Saturday,January,290.04,95.71320000000001,High,Evening,True,Large
83,WALM061,Cedar Park,Food and beverages,19.25,8.0,2019-01-23,1900-01-01 18:37:00,Ewallet,6.6,0.33,18,Wednesday,January,154.0,50.82,Low,Afternoon,False,Large
84,WALM041,Mission,Food and beverages,80.36,4.0,2019-02-23,1900-01-01 18:45:00,Ewallet,8.3,0.48,18,Saturday,February,321.44,154.2912,High,Afternoon,True,Large
85,WALM097,Alice,Sports and travel,48.91,5.0,2019-09-03,1900-01-01 10:17:00,Cash,6.6,0.18,10,Tuesday,September,244.54999999999998,44.019,Medium,Morning,False,Large
86,WALM043,Baytown,Sports and travel,83.06,7.0,2019-05-03,1900-01-01 14:31:00,Ewallet,4.0,0.48,14,Friday,May,581.4200000000001,279.08160000000004,High,Afternoon,False,Very Large
87,WALM042,Bryan,Fashion accessories,76.52,5.0,2019-03-25,1900-01-01 10:23:00,Cash,9.9,0.48,10,Monday,March,382.59999999999997,183.64799999999997,High,Morning,False,Large
88,WALM046,Temple,Food and beverages,49.38,7.0,2019-03-27,1900-01-01 20:35:00,Credit card,7.3,0.48,20,Wednesday,March,345.66,165.9168,Medium,Evening,False,Large
89,WALM011,Lubbock,Sports and travel,42.47,1.0,2019-02-01,1900-01-01 16:57:00,Cash,5.7,0.48,16,Friday,February,42.47,20.3856,Medium,Afternoon,False,Small
90,WALM064,Bedford,Health and beauty,76.99,6.0,2019-02-27,1900-01-01 17:55:00,Cash,6.1,0.33,17,Wednesday,February,461.93999999999994,152.44019999999998,High,Afternoon,False,Large
91,WALM095,Big Spring,Home and lifestyle,47.38,4.0,2019-01-23,1900-01-01 10:25:00,Cash,7.1,0.33,10,Wednesday,January,189.52,62.54160000000001,Medium,Morning,False,Large
92,WALM049,North Richland Hills,Sports and travel,44.86,10.0,2019-01-26,1900-01-01 19:54:00,Ewallet,8.2,0.48,19,Saturday,January,448.6,215.328,Medium,Evening,True,Large
93,WALM040,Edinburg,Sports and travel,21.98,7.0,2019-10-01,1900-01-01 16:42:00,Ewallet,5.1,0.48,16,Tuesday,October,153.86,73.8528,Medium,Afternoon,False,Large
94,WALM065,Texas City,Health and beauty,64.36,9.0,2019-12-03,1900-01-01 12:09:00,Credit card,8.6,0.33,12,Tuesday,December,579.24,191.1492,High,Morning,False,Very Large
95,WALM075,San Marcos,Health and beauty,89.75,1.0,2019-06-02,1900-01-01 20:05:00,Credit card,6.6,0.33,20,Sunday,June,89.75,29.6175,High,Evening,True,Medium
96,WALM034,College Station,Electronic accessories,97.16,1.0,2019-08-03,1900-01-01 20:38:00,Ewallet,7.2,0.48,20,Saturday,August,97.16,46.636799999999994,High,Evening,True,Medium
97,WALM014,Amarillo,Health and beauty,87.87,10.0,2019-03-29,1900-01-01 10:25:00,Ewallet,5.1,0.48,10,Friday,March,878.7,421.776,High,Morning,False,Very Large
98,WALM096,Eagle Pass,Electronic accessories,12.45,6.0,2019-09-02,1900-01-01 13:11:00,Cash,4.1,0.18,13,Monday,September,74.69999999999999,13.445999999999998,Low,Afternoon,False,Medium
99,WALM004,Austin,Food and beverages,52.75,3.0,2019-03-23,1900-01-01 10:16:00,Ewallet,9.3,0.48,10,Saturday,March,158.25,75.96,High,Morning,True,Large
100,WALM011,Lubbock,Home and lifestyle,82.7,6.0,2019-05-03,1900-01-01 18:14:00,Cash,7.4,0.48,18,Friday,May,496.20000000000005,238.17600000000002,High,Afternoon,False,Large
101,WALM075,San Marcos,Fashion accessories,48.71,1.0,2019-03-26,1900-01-01 19:20:00,Cash,4.1,0.33,19,Tuesday,March,48.71,16.0743,Medium,Evening,False,Small
102,WALM057,Euless,Fashion accessories,78.55,9.0,2019-01-03,1900-01-01 13:22:00,Cash,7.2,0.33,13,Thursday,January,706.9499999999999,233.2935,High,Afternoon,False,Very Large
103,WALM023,Midland,Electronic accessories,23.07,9.0,2019-01-02,1900-01-01 11:27:00,Cash,4.9,0.48,11,Wednesday,January,207.63,99.66239999999999,Medium,Morning,False,Large
104,WALM012,Garland,Food and beverages,58.26,6.0,2019-03-28,1900-01-01 16:44:00,Cash,9.9,0.48,16,Thursday,March,349.56,167.7888,High,Afternoon,False,Large
105,WALM078,Del Rio,Health and beauty,30.35,7.0,2019-03-19,1900-01-01 18:19:00,Cash,8.0,0.33,18,Tuesday,March,212.45000000000002,70.1085,Medium,Afternoon,False,Large
106,WALM055,Waxahachie,Electronic accessories,88.67,10.0,2019-12-01,1900-01-01 14:50:00,Ewallet,7.3,0.33,14,Sunday,December,886.7,292.61100000000005,High,Afternoon,True,Very Large
107,WALM038,Sugar Land,Fashion accessories,27.38,6.0,2019-05-01,1900-01-01 20:54:00,Credit card,7.9,0.48,20,Wednesday,May,164.28,78.8544,Medium,Evening,False,Large
108,WALM049,North Richland Hills,Sports and travel,62.13,6.0,2019-03-22,1900-01-01 20:19:00,Cash,7.4,0.48,20,Friday,March,372.78000000000003,178.9344,High,Evening,False,Large
109,WALM044,Pharr,Food and beverages,33.98,9.0,2019-03-24,1900-01-01 10:43:00,Cash,4.2,0.48,10,Sunday,March,305.82,146.7936,Medium,Morning,True,Large
110,WALM056,Rowlett,Electronic accessories,81.97,10.0,2019-03-03,1900-01-01 14:30:00,Cash,9.2,0.33,14,Sunday,March,819.7,270.50100000000003,High,Afternoon,True,Very Large
111,WALM007,Arlington,Sports and travel,16.49,2.0,2019-05-02,1900-01-01 11:32:00,Ewallet,4.6,0.48,11,Thursday,May,32.98,15.830399999999997,Low,Morning,False,Small
112,WALM025,Waco,Health and beauty,98.21,3.0,2019-05-02,1900-01-01 10:41:00,Credit card,7.8,0.48,10,Thursday,May,294.63,141.42239999999998,High,Morning,False,Large
113,WALM005,Fort Worth,Fashion accessories,72.84,7.0,2019-02-15,1900-01-01 12:44:00,Cash,8.4,0.48,12,Friday,February,509.88,244.74239999999998,High,Morning,False,Very Large
114,WALM024,Carrollton,Home and lifestyle,58.07,9.0,2019-01-19,1900-01-01 20:07:00,Ewallet,4.3,0.48,20,Saturday,January,522.63,250.86239999999998,High,Evening,True,Very Large
115,WALM003,San Antonio,Home and lifestyle,80.79,9.0,2019-01-02,1900-01-01 20:31:00,Credit card,9.5,0.36,20,Wednesday,January,727.11,261.7596,High,Evening,False,Very Large
116,WALM087,Waxahachie,Fashion accessories,27.02,3.0,2019-02-03,1900-01-01 13:01:00,Credit card,7.1,0.33,13,Sunday,February,81.06,26.7498,Medium,Afternoon,True,Medium
117,WALM040,Edinburg,Fashion accessories,21.94,5.0,2019-05-03,1900-01-01 12:29:00,Ewallet,5.3,0.48,12,Friday,May,109.7,52.656,Medium,Morning,False,Medium
118,WALM071,Lufkin,Fashion accessories,51.36,1.0,2019-01-16,1900-01-01 15:26:00,Ewallet,5.2,0.33,15,Wednesday,January,51.36,16.948800000000002,High,Afternoon,False,Medium
119,WALM027,Abilene,Food and beverages,10.96,10.0,2019-02-02,1900-01-01 20:48:00,Ewallet,6.0,0.48,20,Saturday,February,109.60000000000001,52.608000000000004,Low,Evening,True,Medium
120,WALM071,Lufkin,Home and lifestyle,53.44,2.0,2019-01-20,1900-01-01 20:38:00,Ewallet,4.1,0.33,20,Sunday,January,106.88,35.2704,High,Evening,True,Medium
121,WALM014,Amarillo,Electronic accessories,99.56,8.0,2019-02-14,1900-01-01 17:03:00,Credit card,5.2,0.48,17,Thursday,February,796.48,382.3104,High,Afternoon,False,Very Large
122,WALM069,Rockwall,Sports and travel,57.12,7.0,2019-12-01,1900-01-01 12:02:00,Credit card,6.5,0.33,12,Sunday,December,399.84,131.9472,High,Morning,True,Large
123,WALM085,Kerrville,Sports and travel,99.96,9.0,2019-09-03,1900-01-01 17:26:00,Credit card,4.2,0.33,17,Tuesday,September,899.64,296.88120000000004,High,Afternoon,False,Very Large
124,WALM061,Cedar Park,Home and lifestyle,63.91,8.0,2019-03-13,1900-01-01 19:52:00,Credit card,4.6,0.33,19,Wednesday,March,511.28,168.7224,High,Evening,False,Very Large
125,WALM088,Cleburne,Fashion accessories,56.47,8.0,2019-09-03,1900-01-01 14:57:00,Ewallet,7.3,0.33,14,Tuesday,September,451.76,149.0808,High,Afternoon,False,Large
126,WALM034,College Station,Home and lifestyle,93.69,7.0,2019-10-03,1900-01-01 18:44:00,Credit card,4.5,0.48,18,Thursday,October,655.8299999999999,314.79839999999996,High,Afternoon,False,Very Large
127,WALM016,Brownsville,Sports and travel,32.25,5.0,2019-01-27,1900-01-01 13:26:00,Cash,9.0,0.48,13,Sunday,January,161.25,77.39999999999999,Medium,Afternoon,True,Large
128,WALM044,Pharr,Fashion accessories,31.73,9.0,2019-08-01,1900-01-01 16:17:00,Credit card,5.9,0.48,16,Thursday,August,285.57,137.0736,Medium,Afternoon,False,Large
129,WALM035,San Angelo,Food and beverages,68.54,8.0,2019-08-01,1900-01-01 15:57:00,Ewallet,8.5,0.48,15,Thursday,August,548.32,263.1936,High,Afternoon,False,Very Large
130,WALM018,Frisco,Sports and travel,90.28,9.0,2019-08-02,1900-01-01 11:15:00,Ewallet,7.2,0.48,11,Friday,August,812.52,390.0096,High,Morning,False,Very Large
131,WALM022,Mesquite,Fashion accessories,39.62,7.0,2019-01-25,1900-01-01 13:18:00,Cash,7.5,0.48,13,Friday,January,277.34,133.1232,Medium,Afternoon,False,Large
132,WALM068,Burleson,Sports and travel,92.13,6.0,2019-06-03,1900-01-01 20:34:00,Cash,8.3,0.33,20,Monday,June,552.78,182.4174,High,Evening,False,Very Large
133,WALM055,Waxahachie,Sports and travel,34.84,4.0,2019-10-02,1900-01-01 18:36:00,Cash,7.4,0.33,18,Wednesday,October,139.36,45.988800000000005,Medium,Afternoon,False,Medium
134,WALM002,Dallas,Electronic accessories,87.45,6.0,2019-02-17,1900-01-01 14:40:00,Credit card,8.8,0.36,14,Sunday,February,524.7,188.892,High,Afternoon,True,Very Large
135,WALM062,Galveston,Health and beauty,81.3,6.0,2019-08-03,1900-01-01 16:43:00,Ewallet,5.3,0.33,16,Saturday,August,487.79999999999995,160.974,High,Afternoon,True,Large
136,WALM098,Mineral Wells,Fashion accessories,90.22,3.0,2019-02-18,1900-01-01 19:39:00,Cash,6.2,0.18,19,Monday,February,270.65999999999997,48.718799999999995,High,Evening,False,Large
137,WALM027,Abilene,Electronic accessories,26.31,5.0,2019-01-18,1900-01-01 20:59:00,Credit card,8.8,0.48,20,Friday,January,131.54999999999998,63.14399999999999,Medium,Evening,False,Medium
138,WALM093,Angleton,Home and lifestyle,34.42,6.0,2019-02-18,1900-01-01 15:39:00,Cash,9.8,0.33,15,Monday,February,206.52,68.1516,Medium,Afternoon,False,Large
139,WALM029,Round Rock,Sports and travel,51.91,10.0,2019-02-16,1900-01-01 12:21:00,Cash,8.2,0.48,12,Saturday,February,519.0999999999999,249.16799999999995,High,Morning,True,Very Large
140,WALM016,Brownsville,Sports and travel,72.5,8.0,2019-03-16,1900-01-01 19:25:00,Ewallet,9.2,0.48,19,Saturday,March,580.0,278.4,High,Evening,True,Very Large
141,WALM023,Midland,Sports and travel,89.8,10.0,2019-01-23,1900-01-01 13:00:00,Credit card,5.4,0.48,13,Wednesday,January,898.0,431.03999999999996,High,Afternoon,False,Very Large
142,WALM012,Garland,Health and beauty,90.5,10.0,2019-01-25,1900-01-01 13:48:00,Cash,8.1,0.48,13,Friday,January,905.0,434.4,High,Afternoon,False,Very Large
143,WALM052,Mansfield,Health and beauty,68.6,10.0,2019-05-02,1900-01-01 19:57:00,Cash,9.1,0.57,19,Thursday,May,686.0,391.02,High,Evening,False,Very Large
144,WALM097,Alice,Food and beverages,30.41,1.0,2019-02-22,1900-01-01 10:36:00,Credit card,8.4,0.18,10,Friday,February,30.41,5.4738,Medium,Morning,False,Small
145,WALM045,Missouri City,Home and lifestyle,77.95,6.0,2019-01-21,1900-01-01 16:37:00,Credit card,8.0,0.48,16,Monday,January,467.70000000000005,224.496,High,Afternoon,False,Large
146,WALM047,Flower Mound,Health and beauty,46.26,6.0,2019-08-03,1900-01-01 17:11:00,Credit card,9.5,0.48,17,Saturday,August,277.56,133.2288,Medium,Afternoon,True,Large
